Transact-ID,UserID,MainItem,Price
T00000111,U009340,GOODS-L,19630
T00000112,U004835,FASHION-H,59330
T00000113,U002607,GOODS-L,19580
T00000114,U004407,FASHION-L,10940
T00000115,U009113,FASHION-L,3380
T00000116,U003033,FASHION-L,21970
T00000117,U003411,FASHION-H,72960
T00000118,U002943,FASHION-H,22660
T00000119,U002718,FASHION-L,3070
T00000120,U003081,FASHION-L,2810
T00000121,U005505,FASHION-L,27710
T00000122,U008430,FASHION-L,23180
T00000123,U008644,FASHION-L,3730
T00000124,U000018,FASHION-H,100400
T00000125,U006512,GOODS-L,1140
T00000126,U000630,FASHION-L,8440
T00000127,U006069,FASHION-L,22910
T00000128,U003982,FASHION-H,21650
T00000129,U000046,FASHION-L,22020
T00000130,U008302,FASHION-H,33210
T00000131,U003341,GOODS-L,1320
T00000132,U006730,FASHION-L,20840
T00000133,U006904,FASHION-L,2820
T00000134,U004929,GOODS-L,640
T00000135,U006208,GOODS-L,970
T00000136,U008421,FASHION-H,55320
T00000137,U010030,FASHION-L,2120
T00000138,U006698,FASHION-L,2200
T00000139,U002412,FASHION-L,2400
T00000140,U000733,GOODS-L,19390
T00000141,U009321,FASHION-L,200
T00000142,U000952,FASHION-H,23770
T00000143,U005450,GOODS-L,910
T00000144,U008990,FASHION-L,2750
T00000145,U010132,FASHION-H,79280
T00000146,U005048,GOODS-H,269400
T00000147,U006935,FASHION-H,67610
T00000148,U007372,FASHION-L,21750
T00000149,U000466,FASHION-H,14870
T00000150,U000843,FASHION-L,19790
T00000151,U007979,FASHION-L,2530
T00000152,U007682,FASHION-L,4060
T00000153,U002615,GOODS-L,1450
T00000154,U001172,GOODS-L,18910
T00000155,U010248,FASHION-L,2130
T00000156,U008378,FASHION-L,2920
T00000157,U009092,FASHION-L,21890
T00000158,U007329,FASHION-L,20430
T00000159,U006642,FASHION-L,2140
T00000160,U009446,GOODS-L,19510
T00000161,U004745,FASHION-L,2600
T00000162,U004868,FASHION-L,3580
T00000163,U001833,FASHION-L,9630
T00000164,U006657,FASHION-L,3840
T00000165,U001850,FASHION-L,2220
T00000166,U004614,FASHION-H,15750
T00000167,U004933,FASHION-L,3260
T00000168,U007122,GOODS-L,690
T00000169,U009673,GOODS-L,470
T00000170,U009023,GOODS-L,21730
T00000171,U003383,FASHION-L,3250
T00000172,U007764,FASHION-L,2960
T00000173,U008197,FASHION-L,3670
T00000174,U009888,GOODS-L,880
T00000175,U000074,GOODS-L,20390
T00000176,U000596,FASHION-L,23120
T00000177,U004962,FASHION-H,22160
T00000178,U001708,GOODS-L,600
T00000179,U009456,GOODS-L,850
T00000180,U002237,FASHION-L,1830
T00000181,U004341,FASHION-H,28240
T00000182,U008255,GOODS-L,1100
T00000183,U005710,FASHION-H,22980
T00000184,U002669,GOODS-L,1040
T00000185,U001268,FASHION-L,16990
T00000186,U009478,GOODS-L,20040
T00000187,U006943,GOODS-L,880
T00000188,U008233,FASHION-H,14850
T00000189,U003123,FASHION-L,10810
T00000190,U003007,FASHION-L,1840
T00000191,U008842,GOODS-H,287550
T00000192,U004688,FASHION-L,17790
T00000193,U003450,FASHION-L,2260
T00000194,U000976,GOODS-L,1260
T00000195,U005855,FASHION-H,14970
T00000196,U005587,GOODS-L,19390
T00000197,U008653,GOODS-L,1170
T00000198,U000597,GOODS-L,20050
T00000199,U003623,FASHION-H,80710
T00000200,U003080,FASHION-L,17020
T00000201,U004239,FASHION-H,58530
T00000202,U000174,FASHION-L,4380
T00000203,U004292,FASHION-H,26940
T00000204,U002833,GOODS-L,910
T00000205,U000837,FASHION-L,23060
T00000206,U007817,GOODS-H,109660
T00000207,U009680,FASHION-L,3020
T00000208,U003401,FASHION-L,3700
T00000209,U000176,GOODS-L,1320
T00000210,U001036,GOODS-L,1150
T00000211,U005990,GOODS-L,1140
T00000212,U009113,GOODS-L,880
T00000213,U004159,GOODS-L,1320
T00000214,U002078,GOODS-L,1120
T00000215,U009287,GOODS-H,169660
T00000216,U009543,FASHION-L,2980
T00000217,U003772,FASHION-L,3510
T00000218,U001283,GOODS-L,1100
T00000219,U000916,GOODS-L,20380
T00000220,U009698,FASHION-L,3090
T00000221,U000782,FASHION-L,2980
T00000222,U000069,FASHION-H,73580
T00000223,U004350,GOODS-H,452880
T00000224,U001602,GOODS-L,1120
T00000225,U003852,FASHION-L,3480
T00000226,U004822,GOODS-L,740
T00000227,U009564,FASHION-L,22130
T00000228,U006798,GOODS-L,20150
T00000229,U006611,FASHION-L,2640
T00000230,U006465,GOODS-L,790
T00000231,U006841,FASHION-L,2000
T00000232,U008620,FASHION-L,22250
T00000233,U006294,GOODS-L,910
T00000234,U003776,FASHION-L,4200
T00000235,U000838,FASHION-L,19370
T00000236,U004125,FASHION-L,20120
T00000237,U008893,FASHION-H,88330
T00000238,U003771,FASHION-L,1970
T00000239,U003382,FASHION-L,2000
T00000240,U000120,GOODS-H,88730
T00000241,U000327,FASHION-L,3860
T00000242,U008270,GOODS-L,20630
T00000243,U004177,FASHION-L,2840
T00000244,U002140,FASHION-L,2460
T00000245,U004983,GOODS-L,1290
T00000246,U009537,FASHION-H,19610
T00000247,U007922,GOODS-L,970
T00000248,U007263,FASHION-L,4420
T00000249,U009638,GOODS-L,1240
T00000250,U003963,GOODS-L,1180
T00000251,U001756,FASHION-L,2640
T00000252,U008804,FASHION-H,23830
T00000253,U005903,GOODS-L,920
T00000254,U009229,FASHION-L,2350
T00000255,U006706,FASHION-H,28940
T00000256,U008598,FASHION-H,63130
T00000257,U001701,GOODS-L,1440
T00000258,U008536,GOODS-L,960
T00000259,U004813,FASHION-L,14500
T00000260,U000261,FASHION-L,2950
T00000261,U001076,FASHION-H,20120
T00000262,U006018,FASHION-L,4180
T00000263,U005069,GOODS-L,1460
T00000264,U001471,FASHION-L,2890
T00000265,U008218,FASHION-L,23330
T00000266,U006392,FASHION-H,49550
T00000267,U003342,GOODS-L,1030
T00000268,U005749,FASHION-L,4090
T00000269,U009000,FASHION-L,22740
T00000270,U000384,GOODS-L,1180
T00000271,U002140,GOODS-L,1040
T00000272,U003181,FASHION-L,1550
T00000273,U001201,FASHION-L,26080
T00000274,U008936,GOODS-L,1050
T00000275,U007683,FASHION-L,19300
T00000276,U004225,FASHION-L,1860
T00000277,U004804,FASHION-L,3320
T00000278,U000871,GOODS-L,1200
T00000279,U005508,FASHION-L,4020
T00000280,U003613,GOODS-L,20620
T00000281,U001777,FASHION-L,10000
T00000282,U009803,FASHION-L,3380
T00000283,U003642,FASHION-L,4170
T00000284,U002431,FASHION-L,4370
T00000285,U004142,FASHION-H,74850
T00000286,U006793,FASHION-L,28880
T00000287,U000660,GOODS-L,710
T00000288,U000398,FASHION-L,22940
T00000289,U009593,FASHION-L,3610
T00000290,U005014,FASHION-L,8900
T00000291,U009113,FASHION-L,2530
T00000292,U003361,FASHION-L,3080
T00000293,U007237,FASHION-L,14790
T00000294,U008083,FASHION-L,22080
T00000295,U000105,GOODS-L,18890
T00000296,U001569,FASHION-L,3230
T00000297,U001382,GOODS-L,19900
T00000298,U008994,FASHION-L,21510
T00000299,U007803,FASHION-L,2240
T00000300,U007445,GOODS-L,1230
T00000301,U008414,FASHION-L,2860
T00000302,U005349,GOODS-L,1210
T00000303,U006209,FASHION-L,19560
T00000304,U002000,FASHION-L,23950
T00000305,U009483,GOODS-L,950
T00000306,U000119,FASHION-L,4650
T00000307,U004574,FASHION-L,2150
T00000308,U005975,GOODS-L,770
T00000309,U008762,FASHION-L,2500
T00000310,U008041,FASHION-H,50680
T00000311,U005744,FASHION-L,2790
T00000312,U003915,FASHION-L,20960
T00000313,U007891,GOODS-L,1080
T00000314,U002715,GOODS-L,650
T00000315,U008947,FASHION-L,2500
T00000316,U005875,FASHION-L,5080
T00000317,U005875,FASHION-L,3660
T00000318,U008064,FASHION-L,1680
T00000319,U008947,FASHION-H,81130
T00000320,U010064,FASHION-L,3000
T00000321,U007856,GOODS-L,950
T00000322,U001181,FASHION-H,54370
T00000323,U008060,FASHION-L,3050
T00000324,U000979,FASHION-L,3440
T00000325,U004433,GOODS-L,19980
T00000326,U001693,FASHION-L,3400
T00000327,U000846,FASHION-L,2110
T00000328,U001803,GOODS-L,1120
T00000329,U004584,GOODS-L,20290
T00000330,U009571,FASHION-L,21770
T00000331,U008900,FASHION-H,25410
T00000332,U006128,GOODS-L,19680
T00000333,U000982,GOODS-H,112560
T00000334,U000227,FASHION-L,15660
T00000335,U000543,FASHION-L,2080
T00000336,U001064,FASHION-L,2860
T00000337,U001953,FASHION-L,16540
T00000338,U005165,FASHION-L,4700
T00000339,U009295,FASHION-L,21290
T00000340,U006235,FASHION-H,50420
T00000341,U005453,GOODS-L,650
T00000342,U005943,FASHION-L,3050
T00000343,U001123,FASHION-L,2700
T00000344,U005342,FASHION-L,1830
T00000345,U006409,FASHION-L,2910
T00000346,U004206,FASHION-L,3390
T00000347,U009813,FASHION-L,17980
T00000348,U009272,FASHION-L,2090
T00000349,U009781,FASHION-L,3940
T00000350,U009513,FASHION-L,2770
T00000351,U000388,FASHION-L,22790
T00000352,U001372,GOODS-L,1020
T00000353,U002926,FASHION-L,4030
T00000354,U002686,GOODS-L,1120
T00000355,U008396,FASHION-L,1210
T00000356,U003962,GOODS-L,19390
T00000357,U000397,GOODS-L,20580
T00000358,U006103,FASHION-H,19790
T00000359,U008457,FASHION-L,4100
T00000360,U001859,FASHION-L,12860
T00000361,U003041,GOODS-L,19760
T00000362,U010090,FASHION-L,27420
T00000363,U007407,FASHION-L,2680
T00000364,U003378,FASHION-H,64400
T00000365,U002498,GOODS-L,20050
T00000366,U009558,FASHION-L,2760
T00000367,U007989,FASHION-L,3700
T00000368,U009777,FASHION-L,3730
T00000369,U010043,GOODS-L,20010
T00000370,U000384,FASHION-H,14870
T00000371,U009283,FASHION-L,26750
T00000372,U010231,FASHION-L,4170
T00000373,U001338,FASHION-L,19580
T00000374,U008899,GOODS-L,20010
T00000375,U001842,GOODS-L,1050
T00000376,U000880,GOODS-L,19810
T00000377,U001302,FASHION-L,3320
T00000378,U000047,FASHION-L,10800
T00000379,U004471,FASHION-L,2780
T00000380,U000814,FASHION-L,3230
T00000381,U004572,GOODS-L,20300
T00000382,U007211,FASHION-L,2350
T00000383,U001801,GOODS-L,20300
T00000384,U006418,FASHION-L,1320
T00000385,U001538,FASHION-L,11990
T00000386,U008594,GOODS-L,780
T00000387,U002468,GOODS-L,1180
T00000388,U005918,GOODS-L,930
T00000389,U008596,FASHION-L,2400
T00000390,U000410,GOODS-L,660
T00000391,U003073,FASHION-L,2520
T00000392,U009681,FASHION-H,29110
T00000393,U001543,FASHION-H,59210
T00000394,U007671,FASHION-H,14740
T00000395,U007058,FASHION-L,2750
T00000396,U006926,FASHION-L,3120
T00000397,U006286,FASHION-L,13760
T00000398,U003498,FASHION-H,27080
T00000399,U000505,FASHION-H,19630
T00000400,U005956,GOODS-L,930
T00000401,U007917,FASHION-L,15790
T00000402,U006748,FASHION-L,3050
T00000403,U003632,GOODS-L,20740
T00000404,U005806,FASHION-L,19010
T00000405,U005832,GOODS-H,271670
T00000406,U001129,GOODS-L,970
T00000407,U010204,FASHION-L,18360
T00000408,U009657,FASHION-H,8700
T00000409,U005837,GOODS-L,680
T00000410,U005345,FASHION-L,3210
T00000411,U000164,FASHION-L,2170
T00000412,U002631,FASHION-L,1720
T00000413,U002269,GOODS-L,1030
T00000414,U002094,FASHION-L,17870
T00000415,U006127,FASHION-L,2500
T00000416,U007357,FASHION-L,20950
T00000417,U008296,FASHION-L,22640
T00000418,U005277,FASHION-L,24540
T00000419,U008168,FASHION-L,9930
T00000420,U002984,GOODS-L,20550
T00000421,U009388,FASHION-L,3700
T00000422,U009056,FASHION-L,19170
T00000423,U006895,FASHION-L,22730
T00000424,U001502,FASHION-H,84310
T00000425,U009652,FASHION-L,3690
T00000426,U006158,FASHION-L,14590
T00000427,U003143,FASHION-L,3840
T00000428,U004910,FASHION-H,23610
T00000429,U005302,FASHION-L,2450
T00000430,U009532,GOODS-L,20360
T00000431,U002807,FASHION-L,19870
T00000432,U001225,FASHION-L,1020
T00000433,U000695,FASHION-L,15260
T00000434,U006075,FASHION-L,2950
T00000435,U006881,FASHION-L,15000
T00000436,U002564,FASHION-H,63130
T00000437,U000739,FASHION-L,3770
T00000438,U007938,FASHION-L,21230
T00000439,U009945,FASHION-L,3180
T00000440,U007177,GOODS-L,20020
T00000441,U000438,FASHION-L,11820
T00000442,U002390,GOODS-L,1020
T00000443,U006736,FASHION-H,31320
T00000444,U006228,FASHION-L,17810
T00000445,U002530,FASHION-L,2330
T00000446,U009845,GOODS-L,20090
T00000447,U005422,FASHION-L,7730
T00000448,U008738,FASHION-L,3150
T00000449,U001304,FASHION-L,23390
T00000450,U002319,FASHION-L,20800
T00000451,U006573,FASHION-L,2370
T00000452,U002519,FASHION-H,18960
T00000453,U005553,FASHION-L,2770
T00000454,U001372,FASHION-H,15450
T00000455,U004703,FASHION-L,16730
T00000456,U005627,FASHION-H,57870
T00000457,U006850,FASHION-L,24460
T00000458,U007780,FASHION-L,3700
T00000459,U007946,FASHION-L,1780
T00000460,U005568,GOODS-L,20300
T00000461,U004923,FASHION-L,21710
T00000462,U002479,FASHION-H,63650
T00000463,U003781,GOODS-L,950
T00000464,U004008,FASHION-L,2620
T00000465,U003999,FASHION-H,19430
T00000466,U004442,FASHION-L,19990
T00000467,U006834,FASHION-L,23050
T00000468,U000933,GOODS-L,1110
T00000469,U004168,FASHION-L,23650
T00000470,U006473,FASHION-L,14680
T00000471,U002115,GOODS-H,83930
T00000472,U004106,GOODS-L,1090
T00000473,U008151,GOODS-L,1250
T00000474,U007987,GOODS-L,19420
T00000475,U008234,GOODS-H,489490
T00000476,U001748,FASHION-L,27890
T00000477,U006993,GOODS-L,20330
T00000478,U008567,FASHION-L,4500
T00000479,U008391,GOODS-L,980
T00000480,U002775,FASHION-L,2940
T00000481,U007900,FASHION-L,19530
T00000482,U004596,FASHION-L,18720
T00000483,U004215,FASHION-L,17630
T00000484,U009581,GOODS-L,20450
T00000485,U001361,FASHION-L,4190
T00000486,U002005,GOODS-H,288780
T00000487,U001878,FASHION-L,11660
T00000488,U009363,FASHION-L,3190
T00000489,U007418,GOODS-H,129250
T00000490,U000485,FASHION-L,2630
T00000491,U004675,GOODS-L,19680
T00000492,U004666,FASHION-L,3870
T00000493,U009157,FASHION-L,29820
T00000494,U002649,FASHION-L,3290
T00000495,U000517,GOODS-L,20350
T00000496,U004297,GOODS-L,780
T00000497,U004357,GOODS-L,19600
T00000498,U008223,FASHION-L,18720
T00000499,U008564,GOODS-L,760
T00000500,U002362,FASHION-H,72620
T00000501,U003552,GOODS-L,18770
T00000502,U007971,FASHION-L,2980
T00000503,U003873,FASHION-L,4720
T00000504,U004683,FASHION-H,13640
T00000505,U000428,FASHION-L,3260
T00000506,U008265,FASHION-H,26970
T00000507,U001689,FASHION-L,14570
T00000508,U004548,FASHION-L,3000
T00000509,U003752,GOODS-L,20430
T00000510,U006576,FASHION-L,15410
T00000511,U003838,FASHION-H,28910
T00000512,U009677,FASHION-L,22650
T00000513,U004815,FASHION-L,2140
T00000514,U002574,FASHION-L,17200
T00000515,U009504,FASHION-L,2240
T00000516,U007863,FASHION-H,16830
T00000517,U007230,FASHION-H,86840
T00000518,U009497,GOODS-H,104130
T00000519,U007932,FASHION-L,2020
T00000520,U009464,FASHION-L,2260
T00000521,U006489,FASHION-L,21440
T00000522,U001003,FASHION-L,1540
T00000523,U006140,FASHION-L,1870
T00000524,U005245,FASHION-L,17600
T00000525,U005884,GOODS-L,760
T00000526,U004410,FASHION-L,4560
T00000527,U000545,FASHION-H,18210
T00000528,U000560,GOODS-L,1120
T00000529,U005358,GOODS-L,18990
T00000530,U001880,FASHION-L,28140
T00000531,U004556,FASHION-L,13440
T00000532,U001354,FASHION-L,15420
T00000533,U006368,FASHION-L,3500
T00000534,U010113,GOODS-L,19860
T00000535,U006552,FASHION-L,17580
T00000536,U005370,FASHION-L,4030
T00000537,U008568,FASHION-H,18440
T00000538,U007875,FASHION-L,2460
T00000539,U005233,FASHION-L,2960
T00000540,U005703,FASHION-L,3210
T00000541,U009685,FASHION-L,17480
T00000542,U000471,GOODS-L,910
T00000543,U001829,GOODS-L,1090
T00000544,U005331,FASHION-L,2440
T00000545,U006760,FASHION-L,21810
T00000546,U008747,FASHION-H,15190
T00000547,U001639,FASHION-H,67030
T00000548,U006150,GOODS-H,119390
T00000549,U002651,FASHION-H,18210
T00000550,U004006,FASHION-L,23570
T00000551,U003289,FASHION-L,28930
T00000552,U004855,FASHION-L,4030
T00000553,U005933,FASHION-L,2960
T00000554,U008145,FASHION-L,3860
T00000555,U006860,FASHION-L,3940
T00000556,U008926,FASHION-L,4580
T00000557,U009388,FASHION-H,15740
T00000558,U006295,GOODS-L,1160
T00000559,U003592,GOODS-L,1030
T00000560,U006485,FASHION-L,22180
T00000561,U004273,GOODS-L,910
T00000562,U003719,FASHION-H,18610
T00000563,U003775,FASHION-L,18860
T00000564,U007422,GOODS-L,890
T00000565,U003608,FASHION-L,3440
T00000566,U000030,FASHION-L,15650
T00000567,U002220,FASHION-L,24290
T00000568,U002768,FASHION-L,1780
T00000569,U004811,FASHION-L,27790
T00000570,U000927,FASHION-L,15690
T00000571,U004231,FASHION-L,17170
T00000572,U003226,GOODS-L,19870
T00000573,U008095,GOODS-H,317590
T00000574,U009996,FASHION-L,3100
T00000575,U009761,FASHION-H,21960
T00000576,U004568,FASHION-L,22680
T00000577,U007491,GOODS-H,121340
T00000578,U003008,GOODS-L,20600
T00000579,U007752,GOODS-L,500
T00000580,U006079,GOODS-L,18920
T00000581,U003339,FASHION-L,3200
T00000582,U010165,FASHION-H,110540
T00000583,U006951,FASHION-L,2730
T00000584,U006477,FASHION-L,25120
T00000585,U008979,GOODS-H,404130
T00000586,U005560,GOODS-L,760
T00000587,U001714,FASHION-L,2070
T00000588,U003823,GOODS-L,1380
T00000589,U002874,GOODS-L,19810
T00000590,U009739,GOODS-L,1180
T00000591,U007328,GOODS-L,820
T00000592,U006772,FASHION-H,16340
T00000593,U007455,FASHION-L,1440
T00000594,U002531,FASHION-L,26730
T00000595,U004884,FASHION-L,12050
T00000596,U002923,FASHION-L,2940
T00000597,U006161,GOODS-L,740
T00000598,U004458,FASHION-L,3390
T00000599,U001672,FASHION-L,19250
T00000600,U000541,FASHION-L,21030
T00000601,U005438,GOODS-L,830
T00000602,U002093,FASHION-H,13250
T00000603,U001286,FASHION-L,1940
T00000604,U010042,FASHION-L,3470
T00000605,U007279,GOODS-L,1160
T00000606,U007851,FASHION-L,2650
T00000607,U002583,FASHION-L,30370
T00000608,U000922,GOODS-L,19590
T00000609,U005022,FASHION-H,73810
T00000610,U004036,FASHION-L,13380
T00000611,U000319,FASHION-L,19610
T00000612,U002933,GOODS-L,970
T00000613,U009473,GOODS-L,1150
T00000614,U006884,FASHION-L,4390
T00000615,U006835,FASHION-L,3640
T00000616,U001146,FASHION-L,14680
T00000617,U008566,FASHION-L,5130
T00000618,U005786,FASHION-L,15060
T00000619,U007542,FASHION-H,19760
T00000620,U002962,FASHION-H,83900
T00000621,U005094,FASHION-L,3240
T00000622,U007285,FASHION-L,16140
T00000623,U002225,FASHION-L,3620
T00000624,U007852,FASHION-H,12830
T00000625,U008088,FASHION-L,18770
T00000626,U000977,FASHION-L,15680
T00000627,U000918,FASHION-L,2580
T00000628,U009753,GOODS-L,1250
T00000629,U008948,FASHION-L,3720
T00000630,U004300,FASHION-L,2130
T00000631,U005245,GOODS-L,1180
T00000632,U005081,FASHION-H,73310
T00000633,U000030,FASHION-L,22850
T00000634,U006476,FASHION-L,2830
T00000635,U004781,GOODS-L,1150
T00000636,U008997,FASHION-L,2440
T00000637,U001238,FASHION-H,14260
T00000638,U002169,FASHION-L,15000
T00000639,U003056,FASHION-L,19300
T00000640,U000797,FASHION-H,18590
T00000641,U001609,FASHION-L,2470
T00000642,U002473,GOODS-L,1030
T00000643,U008805,GOODS-L,770
T00000644,U001624,FASHION-L,3130
T00000645,U000549,FASHION-L,2990
T00000646,U001999,FASHION-L,3660
T00000647,U003069,GOODS-L,960
T00000648,U009538,FASHION-L,3150
T00000649,U005196,FASHION-L,2370
T00000650,U006911,FASHION-L,4240
T00000651,U002037,GOODS-L,1170
T00000652,U009893,GOODS-L,870
T00000653,U008809,FASHION-L,28950
T00000654,U004390,FASHION-L,4010
T00000655,U005370,FASHION-L,17470
T00000656,U001816,FASHION-L,2930
T00000657,U004024,FASHION-L,20090
T00000658,U007756,FASHION-L,2000
T00000659,U009611,GOODS-L,20050
T00000660,U004046,GOODS-L,860
T00000661,U001407,GOODS-L,1270
T00000662,U000679,FASHION-L,19850
T00000663,U007774,FASHION-L,23570
T00000664,U002601,FASHION-L,10060
T00000665,U003661,GOODS-L,1320
T00000666,U008964,FASHION-L,15310
T00000667,U008097,FASHION-L,14670
T00000668,U005387,GOODS-L,19610
T00000669,U010075,FASHION-L,22260
T00000670,U004343,FASHION-L,3670
T00000671,U006212,GOODS-L,990
T00000672,U004574,GOODS-L,19930
T00000673,U007159,GOODS-L,1250
T00000674,U004416,GOODS-L,20280
T00000675,U000753,FASHION-L,2100
T00000676,U000355,FASHION-L,19800
T00000677,U001310,GOODS-L,20260
T00000678,U001359,FASHION-L,3080
T00000679,U001717,FASHION-H,15300
T00000680,U001836,GOODS-H,103440
T00000681,U005929,FASHION-L,19040
T00000682,U010042,FASHION-H,60350
T00000683,U001138,FASHION-L,5280
T00000684,U005469,FASHION-L,2880
T00000685,U003480,FASHION-L,4550
T00000686,U005318,FASHION-L,24550
T00000687,U008224,FASHION-L,22140
T00000688,U008225,FASHION-L,2850
T00000689,U004479,FASHION-L,3220
T00000690,U005462,GOODS-L,1080
T00000691,U003447,FASHION-L,2740
T00000692,U009202,GOODS-L,20310
T00000693,U005091,GOODS-L,680
T00000694,U003493,FASHION-L,20570
T00000695,U008461,GOODS-L,19540
T00000696,U008788,GOODS-L,570
T00000697,U008441,GOODS-L,20630
T00000698,U003845,FASHION-L,2270
T00000699,U008838,FASHION-L,16100
T00000700,U004292,FASHION-L,3320
T00000701,U000246,FASHION-L,2990
T00000702,U007995,FASHION-L,2300
T00000703,U008313,GOODS-L,19990
T00000704,U003247,FASHION-L,16840
T00000705,U002953,GOODS-L,1160
T00000706,U002327,FASHION-L,3250
T00000707,U003236,FASHION-L,15530
T00000708,U005158,FASHION-L,4180
T00000709,U008766,FASHION-L,3310
T00000710,U001418,FASHION-L,2870
T00000711,U000189,GOODS-L,1190
T00000712,U004548,GOODS-H,94260
T00000713,U005747,FASHION-H,86600
T00000714,U007234,FASHION-L,4000
T00000715,U008656,GOODS-L,950
T00000716,U010041,GOODS-L,20180
T00000717,U000165,FASHION-L,3820
T00000718,U002206,FASHION-H,15370
T00000719,U009165,GOODS-L,20090
T00000720,U001668,GOODS-L,19350
T00000721,U002877,FASHION-L,2120
T00000722,U007960,FASHION-L,2430
T00000723,U000284,FASHION-H,22750
T00000724,U001107,FASHION-L,3820
T00000725,U007578,FASHION-L,4000
T00000726,U009511,FASHION-L,24140
T00000727,U009160,FASHION-L,11860
T00000728,U003717,FASHION-L,11820
T00000729,U007228,FASHION-H,20950
T00000730,U009537,FASHION-H,86370
T00000731,U004258,FASHION-L,3960
T00000732,U002236,FASHION-L,26280
T00000733,U004685,FASHION-L,3440
T00000734,U004315,GOODS-L,1010
T00000735,U004993,GOODS-L,980
T00000736,U002612,GOODS-L,960
T00000737,U009246,FASHION-L,24350
T00000738,U007881,FASHION-L,2360
